combination,pairing_score,synergy_score,324,301,303,305,309,307,430,417,404,405
"['peanut', 'strawberry']",0.0387481371087928,0.0,0.0,14.98,0.3848,25.23,0.1537,5.0,1.98,22.57,0.0231,0.0218
"['peanut', 'sugar']",0.0015337423312883,0.0,0.0,0.622,0.0179,3.63,0.0281,4.142,0.0,0.97,0.0015,0.0028
"['peanut', 'walnut']",0.0076335877862595,0.0,0.0,2.5694,0.0749,10.6538,0.0904,4.1406,0.0548,2.9594,0.0084,0.0051
"['pepper', 'strawberry']",0.0476190476190476,0.0,0.0,24.589,0.5923,25.234,0.1534,1.36,5.7451,21.991,0.0241,0.0239
"['apple', 'broccoli', 'peanut']",0.0013315579227696,0.0,0.0,15.5,0.3011999999999999,30.35,0.1455,10.02,18.114,17.23,0.0387,0.0616
"['broccoli', 'egg', 'peanut']",0.0027397260273972,0.0,41.0,32.58,0.9578,109.33,0.7177,79.19999999999999,14.26,35.27,0.0278,0.2428
"['broccoli', 'grape', 'peanut']",0.0027247956403269,0.0,0.0,9.48,0.2592,20.13,0.107,9.18,21.264,12.750000000000002,0.0416,0.0486
"['broccoli', 'peanut', 'pepper']",0.0040376850605652,0.0,0.0,14.769,0.3061,13.964,0.1001,8.66,17.8751,12.161,0.0103,0.0184
"['broccoli', 'peanut', 'strawberry']",0.002680965147453,0.0,0.0,18.98,0.4518,31.93,0.1987,9.1,16.09,33.370000000000005,0.0294,0.0341
"['broccoli', 'peanut', 'walnut']",0.0013642564802182,0.0,0.0,6.5694,0.1419,17.3538,0.1354,8.240599999999999,14.1648,13.7594,0.0147,0.0174
"['butter', 'peanut', 'strawberry']",0.0014641288433382,0.0,0.0,18.388,0.3876,28.638,0.1665,96.306,2.974,22.996,0.0238,0.0266
"['carrot', 'peanut', 'pepper']",0.0014492753623188,0.0,0.0,24.569000000000003,0.3955,21.064,0.1471,31.24,10.0671,7.801,0.0344,0.0262999999999999
"['carrot', 'peanut', 'strawberry']",0.0014388489208633,0.0,0.0,28.78,0.5412,39.03,0.2457,31.68,8.282,29.01,0.0535,0.0419999999999999
"['carrot', 'pepper', 'strawberry']",0.0082644628099173,0.0,0.0,38.389,0.7487,39.034000000000006,0.2454,28.04,12.0471,28.431,0.0545,0.0441
"['grape', 'peanut', 'pepper']",0.0014792899408284,0.0,0.0,15.669,0.4155,17.064,0.0894,5.54,10.9191,2.341,0.0378,0.0404
"['orange', 'peanut', 'pepper']",0.0015015015015015,0.0,0.0,70.969,0.4211,39.464000000000006,0.1671,5.96,3.7651,48.961,0.0992,0.0775
"['peanut', 'pepper', 'strawberry']",0.0029027576197387,0.0,0.0,25.169,0.6081,28.864,0.1810999999999999,5.46,5.7451,22.961,0.0256,0.0259
